Champion,Ban Ratio,league,area
Elise,?9.97%,All,KR
Fiora,?8.35%,All,KR
Kalista,?8.27%,All,KR
Talon,?7.80%,All,KR
Caitlyn,?7.18%,All,KR
Jarvan IV,?7.00%,All,KR
Alistar,?6.95%,All,KR
Azir,?6.82%,All,KR
Twisted Fate,?6.09%,All,KR
Janna,?5.71%,All,KR
Garen,?5.61%,All,KR
Kog'Maw,?5.53%,All,KR
Syndra,?5.47%,All,KR
Cho'Gath,?5.00%,All,KR
Jax,?4.59%,All,KR
Riven,?3.61%,All,KR
Brand,?2.74%,All,KR
Ryze,?2.65%,All,KR
Lucian,?2.46%,All,KR
Kha'Zix,?2.45%,All,KR
Nocturne,?2.37%,All,KR
Zac,?2.34%,All,KR
Orianna,?2.30%,All,KR
Renekton,?2.30%,All,KR
Rumble,?2.26%,All,KR
Ornn,?2.09%,All,KR
Singed,?1.94%,All,KR
Rek'Sai,?1.93%,All,KR
Ekko,?1.91%,All,KR
Kennen,?1.69%,All,KR
Rengar,?1.61%,All,KR
Nidalee,?1.58%,All,KR
Morgana,?1.57%,All,KR
Rammus,?1.55%,All,KR
Shen,?1.53%,All,KR
Malphite,?1.51%,All,KR
Sona,?1.44%,All,KR
Gnar,?1.38%,All,KR
Illaoi,?1.36%,All,KR
Maokai,?1.34%,All,KR
Xin Zhao,?1.32%,All,KR
Anivia,?1.26%,All,KR
Gragas,?1.25%,All,KR
Veigar,?1.24%,All,KR
Ahri,?1.18%,All,KR
Graves,?1.15%,All,KR
Lux,?1.13%,All,KR
Shaco,?1.12%,All,KR
Gangplank,?1.10%,All,KR
Kled,?1.10%,All,KR
Irelia,?1.09%,All,KR
Draven,?1.09%,All,KR
Miss Fortune,?1.02%,All,KR
Heimerdinger,?1.00%,All,KR
Jhin,?0.92%,All,KR
Diana,?0.91%,All,KR
Zyra,?0.81%,All,KR
Akali,?0.77%,All,KR
Cassiopeia,?0.77%,All,KR
Hecarim,?0.75%,All,KR
Taliyah,?0.70%,All,KR
Tahm Kench,?0.68%,All,KR
Fiddlesticks,?0.68%,All,KR
Xerath,?0.67%,All,KR
Olaf,?0.65%,All,KR
Varus,?0.61%,All,KR
Kindred,?0.59%,All,KR
Karma,?0.58%,All,KR
Taric,?0.57%,All,KR
Viktor,?0.54%,All,KR
Vel'Koz,?0.53%,All,KR
Trundle,?0.52%,All,KR
Tryndamere,?0.50%,All,KR
Annie,?0.49%,All,KR
Warwick,?0.47%,All,KR
Jinx,?0.47%,All,KR
Braum,?0.47%,All,KR
Urgot,?0.46%,All,KR
Camille,?0.42%,All,KR
Wukong,?0.41%,All,KR
Zilean,?0.39%,All,KR
Quinn,?0.39%,All,KR
Nautilus,?0.38%,All,KR
Bard,?0.37%,All,KR
Nami,?0.37%,All,KR
Kayle,?0.36%,All,KR
Nunu,?0.35%,All,KR
Dr. Mundo,?0.30%,All,KR
Ashe,?0.30%,All,KR
Sivir,?0.30%,All,KR
Swain,?0.28%,All,KR
Sion,?0.27%,All,KR
Shyvana,?0.24%,All,KR
Karthus,?0.24%,All,KR
Ivern,?0.23%,All,KR
Yorick,?0.23%,All,KR
Amumu,?0.20%,All,KR
Udyr,?0.20%,All,KR
Volibear,?0.20%,All,KR
Vi,?0.20%,All,KR
Poppy,?0.19%,All,KR
Mordekaiser,?0.19%,All,KR
Aurelion Sol,?0.18%,All,KR
Lissandra,?0.14%,All,KR
Aatrox,?0.14%,All,KR
Corki,?0.14%,All,KR
Ziggs,?0.09%,All,KR
Skarner,?0.07%,All,KR
Zed,?47.65%,All,EUW
Yasuo,?45.64%,All,EUW
Twitch,?38.39%,All,EUW
Cho'Gath,?37.96%,All,EUW
Lulu,?34.77%,All,EUW
Tristana,?30.61%,All,EUW
Galio,?30.16%,All,EUW
Sejuani,?29.92%,All,EUW
Darius,?29.12%,All,EUW
Evelynn,?29.02%,All,EUW
Blitzcrank,?25.53%,All,EUW
Kayn,?25.46%,All,EUW
Janna,?25.19%,All,EUW
Vayne,?23.00%,All,EUW
Soraka,?22.66%,All,EUW
Fiora,?21.73%,All,EUW
Draven,?21.46%,All,EUW
Katarina,?17.38%,All,EUW
Xayah,?17.36%,All,EUW
Fizz,?17.22%,All,EUW
Malzahar,?16.12%,All,EUW
Ezreal,?16.07%,All,EUW
Master Yi,?13.03%,All,EUW
Rammus,?12.16%,All,EUW
Azir,?11.58%,All,EUW
Jarvan IV,?10.54%,All,EUW
Urgot,?9.44%,All,EUW
Caitlyn,?8.97%,All,EUW
Kog'Maw,?8.34%,All,EUW
Jax,?7.76%,All,EUW
Nasus,?7.48%,All,EUW
Vladimir,?7.27%,All,EUW
,?6.73%,All,EUW
Thresh,?6.56%,All,EUW
