Champion,Win rate,Games played,KDA,CS,Gold,league,area
Sona,?54.52%,"508,649",3.04:1,?19.71,"?9,934",All,NA
Malzahar,?54.10%,"287,659",2.46:1,?186.75,"?12,196",All,NA
Singed,?53.77%,"188,120",2:01,?191.62,"?11,819",All,NA
Soraka,?53.53%,"425,388",3.12:1,?17.60,"?9,685",All,NA
Anivia,?53.25%,"134,684",2.99:1,?179.72,"?12,130",All,NA
Rammus,?53.10%,"192,938",2.82:1,?114.78,"?10,966",All,NA
Taric,?52.94%,"214,600",3.19:1,?42.17,"?9,320",All,NA
Shyvana,?52.93%,"159,134",2.44:1,?161.48,"?12,333",All,NA
Urgot,?52.87%,"228,234",2.38:1,?173.88,"?12,083",All,NA
Xin Zhao,?52.67%,"266,386",2.14:1,?129.39,"?11,698",All,NA
Yorick,?52.61%,"101,597",1.98:1,?186.36,"?11,914",All,NA
Jarvan IV,?52.44%,"497,163",3.04:1,?129.19,"?11,512",All,NA
Janna,?52.42%,"428,440",3.61:1,?16.47,"?9,787",All,NA
Udyr,?52.38%,"201,543",2.14:1,?147.10,"?11,928",All,NA
Wukong,?52.27%,"156,182",2.37:1,?146.88,"?11,965",All,NA
Veigar,?52.24%,"341,962",2.46:1,?158.89,"?12,186",All,NA
Twitch,?52.21%,"552,207",2.61:1,?180.78,"?12,731",All,NA
Xerath,?52.11%,"106,244",2.96:1,?163.52,"?12,029",All,NA
Warwick,?52.00%,"337,607",2.38:1,?121.23,"?11,650",All,NA
Garen,?51.89%,"262,576",2.31:1,?173.85,"?11,971",All,NA
Amumu,?51.78%,"130,608",2.78:1,?124.00,"?11,172",All,NA
Annie,?51.75%,"248,051",2.33:1,?135.04,"?11,496",All,NA
Leona,?51.72%,"414,687",2.81:1,?45.87,"?9,618",All,NA
Sion,?51.64%,"131,287",2.48:1,?138.23,"?11,228",All,NA
Pantheon,?51.54%,"179,158",2.28:1,?137.89,"?11,655",All,NA
Miss Fortune,?51.52%,"340,882",2.57:1,?177.13,"?12,505",All,NA
Vel'Koz,?51.48%,"152,810",2.58:1,?133.40,"?11,804",All,NA
Brand,?51.44%,"255,383",2.28:1,?84.08,"?11,316",All,NA
Diana,?51.43%,"185,105",2.21:1,?162.08,"?12,294",All,NA
Ziggs,?51.36%,"119,871",2.44:1,?178.62,"?12,202",All,NA
Teemo,?51.35%,"300,712",1.88:1,?166.46,"?12,198",All,NA
Fizz,?51.33%,"247,364",2.39:1,?149.37,"?12,032",All,NA
Draven,?51.29%,"266,627",2.18:1,?184.08,"?13,100",All,NA
Swain,?51.26%,"90,116",2.41:1,?168.01,"?11,589",All,NA
Sejuani,?51.24%,"295,190",3.18:1,?110.99,"?10,889",All,NA
Tryndamere,?51.21%,"227,454",1.84:1,?207.63,"?12,778",All,NA
Blitzcrank,?51.16%,"354,565",2.72:1,?40.34,"?9,646",All,NA
Heimerdinger,?51.14%,"99,925",1.94:1,?172.58,"?11,902",All,NA
Vayne,?51.12%,"720,570",2.21:1,?188.59,"?12,530",All,NA
Jax,?51.03%,"370,230",1.96:1,?161.24,"?12,030",All,NA
Nami,?51.02%,"289,226",3.55:1,?14.52,"?9,645",All,NA
Kayle,?51.00%,"89,190",2.13:1,?177.03,"?11,908",All,NA
Vi,?50.90%,"167,635",2.28:1,?124.81,"?11,532",All,NA
Fiddlesticks,?50.76%,"110,651",2.29:1,?104.05,"?11,187",All,NA
Karthus,?50.72%,"47,343",2.33:1,?184.07,"?12,670",All,NA
Maokai,?50.69%,"208,641",2.87:1,?124.33,"?10,523",All,NA
Jinx,?50.57%,"411,127",2.46:1,?195.22,"?12,602",All,NA
Tristana,?50.54%,"870,401",2.62:1,?196.88,"?12,606",All,NA
Ahri,?50.52%,"259,858",2.62:1,?167.76,"?11,737",All,NA
Zilean,?50.50%,"86,630",3.11:1,?81.83,"?10,754",All,NA
Katarina,?50.50%,"264,623",2.24:1,?158.50,"?12,213",All,NA
Talon,?50.38%,"183,167",2.22:1,?166.38,"?12,501",All,NA
Twisted Fate,?50.36%,"191,653",2.33:1,?163.07,"?12,208",All,NA
Kog'Maw,?50.31%,"257,552",2.27:1,?191.11,"?12,691",All,NA
Shaco,?50.25%,"113,809",2.32:1,?121.83,"?11,733",All,NA
Master Yi,?50.20%,"319,083",1.89:1,?156.66,"?12,666",All,NA
Skarner,?50.20%,"25,679",2.56:1,?121.51,"?11,101",All,NA
Zyra,?50.20%,"135,593",2.42:1,?56.47,"?10,952",All,NA
Nasus,?50.17%,"279,958",1.99:1,?184.95,"?11,823",All,NA
Yasuo,?50.16%,"479,548",1.75:1,?196.90,"?12,440",All,NA
Alistar,?50.11%,"196,971",2.85:1,?42.25,"?9,250",All,NA
Vladimir,?50.02%,"185,078",2.19:1,?180.08,"?11,660",All,NA
Cho'Gath,?50.02%,"292,038",2.51:1,?145.24,"?11,292",All,NA
Jayce,?50.01%,"218,081",2.31:1,?179.87,"?12,137",All,NA
Dr. Mundo,?49.99%,"100,344",2.33:1,?159.76,"?11,579",All,NA
Fiora,?49.99%,"183,839",1.89:1,?182.91,"?11,963",All,NA
Azir,?49.97%,"164,977",2.16:1,?185.24,"?12,116",All,NA
Irelia,?49.94%,"116,412",2.1:1,?180.09,"?11,997",All,NA
Ezreal,?49.87%,"483,297",2.69:1,?155.59,"?12,332",All,NA
Sivir,?49.85%,"147,960",2.65:1,?218.05,"?12,887",All,NA
Nocturne,?49.82%,"89,107",2.28:1,?146.12,"?12,270",All,NA
Kindred,?49.82%,"66,445",2.05:1,?134.25,"?11,855",All,NA
Lux,?49.76%,"419,497",2.84:1,?118.47,"?11,389",All,NA
Malphite,?49.72%,"166,295",2.76:1,?135.57,"?11,009",All,NA
Aatrox,?49.72%,"52,117",1.96:1,?172.14,"?12,009",All,NA
Kled,?49.70%,"83,382",2.44:1,?158.40,"?11,590",All,NA
Rumble,?49.63%,"81,885",2.26:1,?165.72,"?11,653",All,NA
Kennen,?49.57%,"105,949",2.19:1,?161.97,"?11,512",All,NA
Ekko,?49.53%,"293,365",2.26:1,?158.80,"?11,982",All,NA
Varus,?49.52%,"315,626",2.46:1,?195.98,"?12,605",All,NA
Kha'Zix,?49.52%,"210,462",2.4:1,?122.96,"?11,897",All,NA
Lulu,?49.51%,"410,057",3.21:1,?23.59,"?9,631",All,NA
Aurelion Sol,?49.50%,"37,106",2.4:1,?166.95,"?11,651",All,NA
Trundle,?49.48%,"132,123",2.3:1,?150.20,"?11,314",All,NA
Orianna,?49.39%,"324,648",2.76:1,?179.73,"?11,815",All,NA
Akali,?49.36%,"166,918",2.1:1,?151.61,"?11,961",All,NA
Riven,?49.35%,"271,647",2:01,?179.04,"?11,928",All,NA
Hecarim,?49.23%,"100,734",2.62:1,?134.37,"?11,743",All,NA
Darius,?49.19%,"235,403",1.98:1,?171.73,"?11,630",All,NA
Quinn,?49.18%,"67,673",2.01:1,?161.89,"?12,273",All,NA
Illaoi,?49.08%,"89,493",1.68:1,?187.35,"?11,927",All,NA
Gangplank,?49.07%,"227,900",2.4:1,?204.67,"?13,673",All,NA
Zed,?48.97%,"376,054",2.25:1,?170.64,"?12,417",All,NA
Xayah,?48.94%,"489,085",2.45:1,?198.69,"?12,512",All,NA
Kayn,?48.88%,"460,666",2.13:1,?138.55,"?11,895",All,NA
Renekton,?48.85%,"182,314",2.08:1,?192.28,"?11,884",All,NA
Ornn,?48.82%,"214,435",2.59:1,?138.68,"?10,955",All,NA
Zac,?48.77%,"93,033",3.36:1,?110.85,"?10,623",All,NA
Mordekaiser,?48.76%,"50,934",1.8:1,?170.79,"?11,629",All,NA
Braum,?48.75%,"163,134",3.02:1,?42.99,"?9,241",All,NA
Bard,?48.70%,"169,625",2.7:1,?32.99,"?10,297",All,NA
Ashe,?48.68%,"289,890",2.41:1,?178.44,"?12,122",All,NA
Kassadin,?48.67%,"132,695",2.53:1,?157.81,"?11,598",All,NA
Caitlyn,?48.65%,"542,631",2.33:1,?197.17,"?12,330",All,NA
Morgana,?48.59%,"332,853",2.88:1,?56.56,"?10,556",All,NA
Jhin,?48.36%,"348,682",2.73:1,?180.23,"?12,385",All,NA
Corki,?48.32%,"98,387",2.48:1,?187.37,"?12,374",All,NA
Rek'Sai,?48.28%,"81,599",2.49:1,?119.31,"?11,346",All,NA
Volibear,?48.26%,"72,639",2.48:1,?118.18,"?11,210",All,NA
Gnar,?48.20%,"253,509",2.16:1,?164.32,"?11,309",All,NA
Graves,?48.20%,"130,554",2.2:1,?164.61,"?12,338",All,NA
Lissandra,?48.19%,"55,165",2.3:1,?178.28,"?11,697",All,NA
Ivern,?47.89%,"35,365",3.01:1,?79.80,"?10,070",All,NA
Shen,?47.87%,"184,517",2.97:1,?134.78,"?10,676",All,NA
Viktor,?47.62%,"103,071",2.3:1,?185.25,"?12,036",All,NA
Rakan,?47.58%,"290,968",2.86:1,?16.68,"?9,675",All,NA
Poppy,?47.57%,"69,474",2.46:1,?127.20,"?10,793",All,NA
Nautilus,?47.45%,"132,026",2.63:1,?73.87,"?9,845",All,NA
Elise,?47.29%,"95,264",2.24:1,?103.71,"?11,102",All,NA
Camille,?47.25%,"73,510",1.92:1,?152.15,"?11,312",All,NA
Karma,?47.10%,"199,807",2.76:1,?52.46,"?10,065",All,NA
Tahm Kench,?47.02%,"98,644",2.54:1,?82.39,"?10,160",All,NA
Rengar,?46.93%,"132,490",1.96:1,?147.00,"?12,008",All,NA
Thresh,?46.86%,"499,924",2.83:1,?29.67,"?9,244",All,NA
Syndra,?46.68%,"194,304",2.16:1,?182.92,"?11,978",All,NA
Kalista,?46.67%,"148,264",2.24:1,?189.47,"?12,323",All,NA
Olaf,?46.56%,"60,843",2.03:1,?148.50,"?11,564",All,NA
Lee Sin,?46.55%,"361,259",2.34:1,?112.78,"?11,206",All,NA
LeBlanc,?46.54%,"101,074",2.44:1,?135.93,"?11,158",All,NA
Gragas,?46.26%,"182,763",2.6:1,?114.97,"?10,616",All,NA
Taliyah,?46.16%,"102,556",2.23:1,?166.27,"?11,714",All,NA
Lucian,?46.15%,"281,015",2.29:1,?194.67,"?12,547",All,NA
Evelynn,?46.14%,"217,434",2.31:1,?99.83,"?11,413",All,NA
Nidalee,?45.90%,"126,558",2.3:1,?119.43,"?11,410",All,NA
Cassiopeia,?45.83%,"65,126",2.1:1,?169.21,"?11,558",All,NA
Galio,?45.32%,"296,349",2.33:1,?154.25,"?11,001",All,NA
Nunu,?44.74%,"36,990",2.28:1,?107.06,"?10,359",All,NA
Ryze,?42.72%,"153,291",2.07:1,?182.87,"?11,580",All,NA
Taric,?52.72%,"26,213",2.96:1,?42.64,"?9,661",Brozen,NA
Sona,?52.46%,"64,744",2.88:1,?22.94,"?10,266",Brozen,NA
Yorick,?52.16%,"16,025",1.98:1,?175.61,"?12,049",Brozen,NA
Shyvana,?51.73%,"24,874",2.26:1,?153.52,"?12,465",Brozen,NA
Singed,?51.30%,"15,005",1.91:1,?173.53,"?11,944",Brozen,NA
Garen,?51.28%,"50,583",2.33:1,?160.15,"?12,063",Brozen,NA
Malzahar,?51.25%,"26,845",2.31:1,?173.74,"?12,396",Brozen,NA
Urgot,?51.22%,"25,979",2.3:1,?158.90,"?12,140",Brozen,NA
Rammus,?51.09%,"21,476",2.52:1,?111.55,"?11,297",Brozen,NA
Sion,?50.81%,"17,195",2.38:1,?125.15,"?11,410",Brozen,NA
Veigar,?50.72%,"44,431",2.29:1,?142.89,"?12,245",Brozen,NA
Udyr,?50.63%,"21,016",1.97:1,?136.83,"?12,006",Brozen,NA
Amumu,?50.60%,"17,913",2.54:1,?117.91,"?11,381",Brozen,NA
Tryndamere,?50.58%,"39,024",1.87:1,?186.50,"?12,870",Brozen,NA
Miss Fortune,?50.53%,"66,605",2.43:1,?166.34,"?12,625",Brozen,NA
Diana,?50.46%,"25,109",2.16:1,?145.24,"?12,398",Brozen,NA
Wukong,?50.41%,"17,397",2.28:1,?134.21,"?12,017",Brozen,NA
Leona,?50.37%,"56,066",2.66:1,?45.36,"?9,946",Brozen,NA
Soraka,?50.34%,"50,167",2.89:1,?22.96,"?10,093",Brozen,NA
Jarvan IV,?50.14%,"28,653",2.78:1,?125.02,"?11,812",Brozen,NA
Xerath,?50.06%,"10,601",2.7:1,?143.20,"?11,945",Brozen,NA
Yasuo,?50.01%,"58,066",1.74:1,?180.66,"?12,653",Brozen,NA
Xin Zhao,?49.98%,"39,494",1.91:1,?123.44,"?11,899",Brozen,NA
Brand,?49.92%,"25,735",2.23:1,?92.84,"?11,635",Brozen,NA
Teemo,?49.85%,"50,816",1.86:1,?158.03,"?12,431",Brozen,NA
Warwick,?49.80%,"54,753",2.16:1,?116.72,"?11,878",Brozen,NA
Twitch,?49.77%,"57,490",2.38:1,?164.46,"?12,766",Brozen,NA
Annie,?49.68%,"30,561",2.21:1,?119.58,"?11,606",Brozen,NA
Karthus,?49.60%,"5,175",2.27:1,?162.69,"?12,817",Brozen,NA
Anivia,?49.52%,"12,670",2.68:1,?152.64,"?12,061",Brozen,NA
Heimerdinger,?49.41%,"19,965",1.83:1,?163.02,"?12,060",Brozen,NA
Kog'Maw,?49.40%,"19,259",2.15:1,?170.33,"?12,792",Brozen,NA
Janna,?49.37%,"31,248",3.1:1,?21.01,"?10,184",Brozen,NA
Sejuani,?49.35%,"30,244",2.81:1,?108.38,"?11,142",Brozen,NA
Ziggs,?49.28%,"15,979",2.2:1,?152.69,"?12,008",Brozen,NA
Master Yi,?49.25%,"53,547",1.78:1,?150.92,"?12,856",Brozen,NA
Jax,?49.25%,"46,532",1.86:1,?138.87,"?12,105",Brozen,NA
Blitzcrank,?49.20%,"43,040",2.51:1,?43.19,"?9,917",Brozen,NA
Nasus,?49.19%,"39,326",1.98:1,?171.68,"?12,017",Brozen,NA
Nami,?49.12%,"26,947",3.14:1,?18.72,"?10,013",Brozen,NA
Vel'Koz,?49.11%,"15,768",2.4:1,?132.08,"?12,008",Brozen,NA
Vi,?49.02%,"22,227",2.07:1,?120.85,"?11,680",Brozen,NA
Swain,?48.82%,"10,399",2.3:1,?150.59,"?11,742",Brozen,NA
Vayne,?48.75%,"56,645",2.06:1,?167.45,"?12,580",Brozen,NA
Kayle,?48.69%,"11,931",2:01,?154.76,"?11,895",Brozen,NA
Tristana,?48.54%,"81,169",2.37:1,?176.79,"?12,541",Brozen,NA
Maokai,?48.53%,"20,177",2.64:1,?101.70,"?10,635",Brozen,NA
Alistar,?48.51%,"19,203",2.56:1,?42.08,"?9,528",Brozen,NA
Malphite,?48.48%,"20,647",2.61:1,?110.01,"?11,083",Brozen,NA
Jinx,?48.46%,"63,712",2.27:1,?176.50,"?12,552",Brozen,NA
Illaoi,?48.43%,"16,835",1.71:1,?168.39,"?11,931",Brozen,NA
Zyra,?48.40%,"14,962",2.3:1,?69.66,"?11,363",Brozen,NA
Ahri,?48.29%,"29,047",2.43:1,?146.87,"?11,651",Brozen,NA
Lux,?48.25%,"71,082",2.65:1,?99.68,"?11,370",Brozen,NA
Fizz,?48.12%,"28,475",2.26:1,?129.10,"?12,045",Brozen,NA
Ekko,?48.06%,"35,470",2.11:1,?144.53,"?12,005",Brozen,NA
Nocturne,?48.02%,"9,695",2:01,?139.64,"?12,474",Brozen,NA
Fiddlesticks,?48.02%,"14,067",2.06:1,?104.27,"?11,440",Brozen,NA
Skarner,?47.97%,"2,979",2.17:1,?117.81,"?11,371",Brozen,NA
Varus,?47.94%,"34,845",2.3:1,?178.05,"?12,699",Brozen,NA
Zilean,?47.90%,"9,284",2.56:1,?75.80,"?10,978",Brozen,NA
Draven,?47.84%,"25,118",2.09:1,?161.37,"?12,925",Brozen,NA
Cho'Gath,?47.81%,"36,350",2.34:1,?130.86,"?11,442",Brozen,NA
Trundle,?47.80%,"15,766",2.16:1,?130.58,"?11,376",Brozen,NA
Dr. Mundo,?47.77%,"13,266",2.18:1,?147.22,"?11,613",Brozen,NA
Braum,?47.71%,"23,206",2.8:1,?41.79,"?9,569",Brozen,NA
Volibear,?47.63%,"17,625",2.32:1,?112.10,"?11,402",Brozen,NA
Shen,?47.46%,"22,294",2.81:1,?109.57,"?10,760",Brozen,NA
Talon,?47.45%,"27,862",2.13:1,?148.95,"?12,521",Brozen,NA
Fiora,?47.43%,"17,850",1.85:1,?159.75,"?11,940",Brozen,NA
Shaco,?47.31%,"13,595",2.07:1,?108.25,"?11,618",Brozen,NA
Hecarim,?47.28%,"12,445",2.41:1,?127.37,"?11,879",Brozen,NA
Sivir,?47.21%,"16,284",2.34:1,?195.31,"?12,752",Brozen,NA
Rumble,?47.11%,"6,930",2.09:1,?148.57,"?11,826",Brozen,NA
Quinn,?47.09%,"13,492",1.94:1,?150.33,"?12,362",Brozen,NA
Katarina,?47.02%,"26,982",2.08:1,?142.73,"?12,220",Brozen,NA
Irelia,?46.99%,"9,561",2.01:1,?152.07,"?12,050",Brozen,NA
Rakan,?46.91%,"32,486",2.67:1,?19.12,"?10,081",Brozen,NA
Kled,?46.91%,"8,881",2.27:1,?139.69,"?11,652",Brozen,NA
Orianna,?46.87%,"22,846",2.55:1,?157.95,"?11,812",Brozen,NA
Pantheon,?46.87%,"23,742",2.1:1,?122.39,"?11,688",Brozen,NA
Azir,?46.84%,"13,150",1.89:1,?161.86,"?12,032",Brozen,NA
Darius,?46.83%,"27,024",1.93:1,?150.29,"?11,536",Brozen,NA
Zac,?46.82%,"9,251",2.95:1,?103.74,"?10,766",Brozen,NA
Morgana,?46.79%,"53,709",2.62:1,?57.53,"?10,940",Brozen,NA
Kennen,?46.77%,"11,280",2.07:1,?142.10,"?11,523",Brozen,NA
Nautilus,?46.76%,"24,511",2.53:1,?65.20,"?10,072",Brozen,NA
Zed,?46.76%,"41,393",2.14:1,?154.06,"?12,506",Brozen,NA
Ashe,?46.73%,"45,955",2.24:1,?160.87,"?12,151",Brozen,NA
Akali,?46.70%,"26,195",2.07:1,?133.25,"?12,045",Brozen,NA
Kayn,?46.65%,"47,831",1.94:1,?131.30,"?11,966",Brozen,NA
Xayah,?46.59%,"46,123",2.18:1,?177.49,"?12,430",Brozen,NA
Lulu,?46.58%,"31,244",2.72:1,?34.03,"?10,063",Brozen,NA
Graves,?46.52%,"10,799",2.01:1,?160.36,"?12,484",Brozen,NA
Aatrox,?46.51%,"7,035",1.79:1,?153.76,"?11,969",Brozen,NA
Renekton,?46.44%,"19,299",1.99:1,?171.94,"?11,865",Brozen,NA
Ezreal,?46.25%,"36,279",2.49:1,?145.66,"?12,261",Brozen,NA
Viktor,?46.19%,"6,893",2.12:1,?156.98,"?11,979",Brozen,NA
Corki,?46.12%,"6,904",2.21:1,?163.24,"?12,331",Brozen,NA
Caitlyn,?46.05%,"48,320",2.21:1,?176.58,"?12,286",Brozen,NA
Jayce,?45.98%,"16,993",2.15:1,?157.04,"?12,012",Brozen,NA
Poppy,?45.97%,"11,263",2.34:1,?113.72,"?10,881",Brozen,NA
Gnar,?45.95%,"27,454",2.08:1,?147.92,"?11,387",Brozen,NA
Ornn,?45.91%,"20,326",2.32:1,?117.40,"?11,031",Brozen,NA
Mordekaiser,?45.91%,"7,485",1.7:1,?150.97,"?11,582",Brozen,NA
Kindred,?45.84%,"8,843",1.82:1,?125.46,"?11,797",Brozen,NA
Aurelion Sol,?45.78%,"3,746",2.04:1,?144.70,"?11,534",Brozen,NA
Jhin,?45.77%,"41,990",2.49:1,?160.65,"?12,263",Brozen,NA
Vladimir,?45.65%,"13,823",1.96:1,?155.79,"?11,476",Brozen,NA
Twisted Fate,?45.65%,"15,361",1.93:1,?141.26,"?12,132",Brozen,NA
Karma,?45.62%,"19,998",2.47:1,?55.18,"?10,462",Brozen,NA
Riven,?45.45%,"22,535",1.86:1,?154.90,"?11,822",Brozen,NA
Lissandra,?45.34%,"4,292",2.1:1,?151.79,"?11,636",Brozen,NA
Bard,?45.27%,"15,720",2.37:1,?41.37,"?10,670",Brozen,NA
Gangplank,?45.19%,"14,325",2.15:1,?181.02,"?13,278",Brozen,NA
Kassadin,?45.12%,"10,413",2.25:1,?131.51,"?11,601",Brozen,NA
Tahm Kench,?44.90%,"14,962",2.34:1,?71.21,"?10,319",Brozen,NA
Kha'Zix,?44.82%,"17,283",2.04:1,?115.68,"?11,854",Brozen,NA
Galio,?44.72%,"36,675",2.21:1,?136.12,"?11,140",Brozen,NA
Olaf,?44.67%,"11,594",1.83:1,?140.10,"?11,608",Brozen,NA
Lucian,?44.58%,"30,941",2.17:1,?177.28,"?12,559",Brozen,NA
Thresh,?44.52%,"48,450",2.55:1,?31.21,"?9,507",Brozen,NA
Rek'Sai,?44.21%,"6,042",2.03:1,?109.91,"?11,315",Brozen,NA
Gragas,?44.14%,"13,794",2.19:1,?104.19,"?10,682",Brozen,NA
Rengar,?43.78%,"13,736",1.72:1,?134.99,"?11,998",Brozen,NA
Kalista,?43.68%,"12,005",2.05:1,?170.09,"?12,289",Brozen,NA
Elise,?43.60%,"7,204",1.92:1,?97.98,"?11,172",Brozen,NA
Syndra,?43.56%,"17,552",2.02:1,?162.41,"?11,911",Brozen,NA
Ivern,?43.48%,"3,995",2.3:1,?75.62,"?10,203",Brozen,NA
Cassiopeia,?43.35%,"6,987",2.01:1,?145.35,"?11,564",Brozen,NA
Evelynn,?43.24%,"24,720",2.02:1,?92.86,"?11,409",Brozen,NA
Camille,?43.16%,"6,161",1.74:1,?125.20,"?11,054",Brozen,NA
Lee Sin,?43.04%,"25,113",2.02:1,?108.85,"?11,371",Brozen,NA
Taliyah,?42.87%,"8,141",1.97:1,?138.22,"?11,464",Brozen,NA
Nidalee,?42.16%,"10,836",1.92:1,?101.35,"?11,228",Brozen,NA
Ryze,?41.56%,"13,169",1.94:1,?157.66,"?11,532",Brozen,NA
LeBlanc,?41.38%,"7,941",2.08:1,?109.59,"?10,823",Brozen,NA
Nunu,?40.07%,"5,076",1.92:1,?102.12,"?10,582",Brozen,NA
Sona,?54.07%,"205,238",3:01,?19.59,"?10,004",Silver,NA
Malzahar,?53.33%,"115,248",2.44:1,?184.12,"?12,271",Silver,NA
Soraka,?53.17%,"177,263",3.07:1,?17.74,"?9,781",Silver,NA
Singed,?53.04%,"69,287",1.96:1,?188.67,"?11,907",Silver,NA
Shyvana,?52.72%,"70,212",2.42:1,?159.22,"?12,352",Silver,NA
Taric,?52.71%,"89,790",3.16:1,?42.55,"?9,385",Silver,NA
Yorick,?52.65%,"48,001",1.99:1,?185.27,"?11,942",Silver,NA
Urgot,?52.57%,"94,563",2.37:1,?171.35,"?12,124",Silver,NA
Rammus,?52.48%,"79,256",2.76:1,?114.45,"?11,060",Silver,NA
Anivia,?52.40%,"49,050",2.93:1,?173.64,"?12,132",Silver,NA
Udyr,?52.16%,"88,646",2.11:1,?145.29,"?11,951",Silver,NA
Veigar,?52.03%,"149,910",2.44:1,?156.97,"?12,214",Silver,NA
Garen,?51.98%,"129,704",2.34:1,?173.33,"?11,970",Silver,NA
Warwick,?51.76%,"154,700",2.37:1,?120.66,"?11,685",Silver,NA
Wukong,?51.70%,"64,007",2.38:1,?143.90,"?11,954",Silver,NA
Xin Zhao,?51.66%,"109,652",2.1:1,?128.16,"?11,688",Silver,NA
Amumu,?51.65%,"62,636",2.78:1,?123.17,"?11,213",Silver,NA
Janna,?51.62%,"164,361",3.47:1,?16.69,"?9,881",Silver,NA
Jarvan IV,?51.61%,"169,834",2.97:1,?127.52,"?11,581",Silver,NA
Brand,?51.58%,"106,575",2.3:1,?88.06,"?11,421",Silver,NA
Xerath,?51.52%,"37,613",2.87:1,?156.22,"?11,995",Silver,NA
Sion,?51.50%,"55,770",2.48:1,?135.41,"?11,270",Silver,NA
Leona,?51.41%,"183,379",2.81:1,?45.57,"?9,674",Silver,NA
Teemo,?51.40%,"129,406",1.87:1,?166.00,"?12,213",Silver,NA
Vel'Koz,?51.38%,"59,935",2.56:1,?134.33,"?11,901",Silver,NA
Miss Fortune,?51.31%,"154,786",2.58:1,?178.59,"?12,523",Silver,NA
Twitch,?51.16%,"215,734",2.56:1,?178.13,"?12,751",Silver,NA
Diana,?51.05%,"77,894",2.22:1,?157.26,"?12,297",Silver,NA
Ziggs,?51.03%,"48,741",2.38:1,?173.12,"?12,179",Silver,NA
Swain,?50.99%,"36,885",2.4:1,?164.56,"?11,645",Silver,NA
Tryndamere,?50.96%,"106,554",1.84:1,?206.36,"?12,813",Silver,NA
Blitzcrank,?50.93%,"146,496",2.69:1,?40.74,"?9,715",Silver,NA
Heimerdinger,?50.89%,"40,538",1.94:1,?171.88,"?11,928",Silver,NA
Fizz,?50.83%,"100,547",2.38:1,?144.82,"?12,050",Silver,NA
Annie,?50.70%,"114,067",2.3:1,?131.83,"?11,500",Silver,NA
Fiddlesticks,?50.70%,"43,801",2.27:1,?102.51,"?11,260",Silver,NA
Nami,?50.62%,"109,325",3.47:1,?14.50,"?9,718",Silver,NA
Jax,?50.62%,"154,019",1.96:1,?155.70,"?12,027",Silver,NA
Vi,?50.60%,"71,490",2.25:1,?123.06,"?11,513",Silver,NA
Vayne,?50.54%,"276,670",2.17:1,?184.34,"?12,546",Silver,NA
Sejuani,?50.50%,"123,929",3.11:1,?110.28,"?10,950",Silver,NA
Draven,?50.38%,"102,792",2.16:1,?180.51,"?13,103",Silver,NA
Jinx,?50.34%,"187,488",2.45:1,?194.16,"?12,621",Silver,NA
Pantheon,?50.32%,"72,535",2.24:1,?134.87,"?11,657",Silver,NA
Yasuo,?50.32%,"193,342",1.76:1,?194.04,"?12,519",Silver,NA
Nasus,?50.25%,"126,048",2:01,?183.20,"?11,850",Silver,NA
Zilean,?50.14%,"30,882",3.05:1,?81.00,"?10,882",Silver,NA
Dr. Mundo,?50.10%,"43,540",2.31:1,?158.73,"?11,608",Silver,NA
Ahri,?50.04%,"106,628",2.59:1,?163.19,"?11,714",Silver,NA
Master Yi,?50.02%,"145,840",1.88:1,?156.09,"?12,685",Silver,NA
Karthus,?50.00%,"17,411",2.33:1,?176.55,"?12,669",Silver,NA
Kayle,?49.99%,"35,486",2.11:1,?173.80,"?11,880",Silver,NA
Maokai,?49.91%,"82,121",2.86:1,?118.92,"?10,578",Silver,NA
Tristana,?49.80%,"339,844",2.57:1,?193.70,"?12,603",Silver,NA
Zyra,?49.75%,"54,262",2.39:1,?58.61,"?11,042",Silver,NA
Skarner,?49.63%,"9,872",2.5:1,?118.60,"?11,151",Silver,NA
Lux,?49.61%,"192,211",2.82:1,?115.27,"?11,379",Silver,NA
Nocturne,?49.53%,"34,152",2.21:1,?143.57,"?12,293",Silver,NA
Talon,?49.50%,"74,065",2.2:1,?163.43,"?12,510",Silver,NA
Fiora,?49.49%,"70,442",1.89:1,?177.26,"?11,962",Silver,NA
Alistar,?49.46%,"79,617",2.8:1,?42.26,"?9,337",Silver,NA
Katarina,?49.45%,"104,408",2.21:1,?155.46,"?12,241",Silver,NA
Trundle,?49.41%,"55,337",2.28:1,?147.62,"?11,371",Silver,NA
Kog'Maw,?49.37%,"89,248",2.24:1,?186.93,"?12,745",Silver,NA
Sivir,?49.25%,"60,373",2.61:1,?215.35,"?12,882",Silver,NA
Kindred,?49.20%,"25,695",2:01,?131.35,"?11,882",Silver,NA
Jayce,?49.17%,"73,301",2.3:1,?174.28,"?12,146",Silver,NA
Kled,?49.15%,"32,201",2.4:1,?154.30,"?11,654",Silver,NA
Azir,?49.14%,"53,771",2.08:1,?179.26,"?12,128",Silver,NA
Ekko,?49.14%,"116,611",2.23:1,?155.76,"?11,990",Silver,NA
Malphite,?49.14%,"71,428",2.77:1,?127.61,"?10,977",Silver,NA
Cho'Gath,?49.13%,"122,333",2.48:1,?141.93,"?11,315",Silver,NA
Shaco,?49.11%,"45,575",2.27:1,?118.10,"?11,713",Silver,NA
Aatrox,?49.03%,"19,728",1.94:1,?168.55,"?12,021",Silver,NA
